nome,artista,data_tocada
Periscope,Andromeda,2024-08-25T18:52:24.155Z
Breathe,Darkwater,2024-08-25T18:46:17.369Z
Soldier of Fortune,Opeth,2024-08-25T18:41:39.052Z
Lethe,Dark Tranquillity,2024-08-25T18:38:10.910Z
Lightning & Snow,Woods Of Ypres,2024-08-25T18:33:26.525Z
Fall from Grace,Paradise Lost,2024-08-25T18:28:46.026Z
Breathless,Triosphere,2024-08-25T18:23:03.674Z
Survival of the Richest,Andromeda,2024-08-25T18:17:43.460Z
House of the Setting Sun,Lake Of Tears,2024-08-25T18:11:41.577Z
Persephone,Opeth,2024-08-25T18:06:03.779Z
Auctioned,Dark Tranquillity,2024-08-25T18:04:09.757Z
Move On! (The Woman Will Always Leave The Man),Woods Of Ypres,2024-08-25T17:58:02.883Z
Alive - Pt. I,Darkwater,2024-08-25T17:55:02.760Z
Adio (Acoustic Version),Agathodaimon,2024-08-25T17:53:37.005Z
Burning with Life,Echoes Of Eternity,2024-08-25T17:50:09.812Z
Dedications,Evereve,2024-08-25T17:48:35.346Z
Kingslayer,Almanac,2024-08-25T17:47:14.991Z
Like A Leaf,Lake Of Tears,2024-08-25T17:45:42.059Z
Finality,Woods Of Ypres,2024-08-25T17:40:35.678Z
Vision 11even * in My Universe,Vanden Plas,2024-08-25T17:36:37.874Z
涙のスロー・ダンス,Meiko Nakahara,2024-08-25T17:29:41.597Z
After 5 Clash,Toshikii,2024-08-25T17:24:39.796Z
London Bridge (Piano Version),John B. Lund,2024-08-25T04:13:37.228Z
Itsy bitsy spider,Mingmei Hsueh,2024-08-25T02:04:51.485Z
Brahms Lullaby,Lucy Bennett,2024-08-25T02:03:29.061Z
"Twinkle, Twinkle, Little Star",Adelmar Borrego,2024-08-25T02:01:49.084Z
I'll Stand by You,Pretenders,2024-08-25T00:57:20.412Z
"Invincible (From ""World of Warcraft"")",Russell Brower,2024-08-25T00:38:16.312Z
"Long, Long Time Ago (From ""Pan's Labyrinth"")",Javier Navarette,2024-08-25T00:34:56.764Z
Inside Out,Duster,2024-08-25T00:32:16.438Z
"Nerevar Rising - From ""The Elder Scrolls III: Morrowind""",Jeremy Soule,2024-08-25T00:29:54.878Z
Não Sei Dançar,Marina Lima,2024-08-25T00:28:22.941Z
Losing My Religion,R.E.M.,2024-08-24T20:17:34.917Z
Looking for the Summer,Chris Rea,2024-08-24T20:13:06.302Z
Drakkar's Party - Bonus Track,Sovengar,2024-08-24T20:08:02.127Z
Misery's Dawn,Evereve,2024-08-24T20:04:35.759Z
Further On Up The Road,Johnny Cash,2024-08-24T20:00:08.573Z
Adora Vivos,Woods Of Ypres,2024-08-24T19:56:43.742Z
Dragula,Rob Zombie,2024-08-24T19:51:01.608Z
Obey (feat. Jonny Smokes) - unplugged & live version,Warrel Dane,2024-08-24T19:47:17.827Z
Dancing Tonight,Yurie Kokubu,2024-08-24T19:44:00.679Z
With Or Without You,U2,2024-08-24T19:40:48.092Z
Stirb nicht vor mir (Don't Die Before I Do),Rammstein,2024-08-24T19:35:52.775Z
"(Ghost) Riders in the Sky - Live at Nassau Coliseum, Uniondale, NY - March 1990",The Highwaymen,2024-08-24T19:31:46.766Z
Axes,Týr,2024-08-24T19:26:38.276Z
Roads,Roadrunner United,2024-08-24T19:23:04.745Z
Misery's Dawn,Evereve,2024-08-24T19:20:39.760Z
Chapter I: Tales of Ithiria,Haggard,2024-08-24T19:16:12.763Z
"The Road to Hell, Pt. 1 & 2 - New Version 2008",Chris Rea,2024-08-24T19:08:05.417Z
Free Bird,Lynyrd Skynyrd,2024-08-24T19:01:31.877Z
