artist_name,genres,track_name,played_at
Queen,"classic rock, glam rock, rock",Crazy Little Thing Called Love - Remastered 2011,2024-08-24T15:31:11.753Z
Queen,"classic rock, glam rock, rock",Who Wants To Live Forever - Remastered 2011,2024-08-24T15:28:28.402Z
Stratovarius,"finnish power metal, metal, neo classical metal, power metal, progressive metal, speed metal, symphonic metal",Speed of Light,2024-08-24T14:22:04.137Z
Manowar,"comic metal, hard rock, metal, power metal, speed metal, us power metal",Metal Warriors,2024-08-24T14:19:00.394Z
Savatage,"glam metal, hard rock, metal, power metal, progressive metal, thrash metal, us power metal",Gutter Ballet,2024-08-24T14:15:05.359Z
At Vance,"german metal, german power metal, metal cover, neo classical metal, power metal",Only Human,2024-08-24T14:08:44.541Z
Kreator,"death metal, german metal, german thrash metal, hard rock, melodic thrash, metal, old school thrash, speed metal, thrash metal",Strongest Of The Strong,2024-08-24T14:03:27.958Z
Nevermore,"groove metal, metal, neo classical metal, power metal, progressive groove metal, progressive metal, seattle metal, thrash metal",The Heart Collector,2024-08-24T13:59:26.643Z
Stratovarius,"finnish power metal, metal, neo classical metal, power metal, progressive metal, speed metal, symphonic metal",Forever,2024-08-24T13:53:30.398Z
Manowar,"comic metal, hard rock, metal, power metal, speed metal, us power metal",Spirit Horse of the Cherokee,2024-08-24T13:50:21.865Z
Savatage,"glam metal, hard rock, metal, power metal, progressive metal, thrash metal, us power metal",Believe,2024-08-24T13:44:20.679Z
Anton Bruch,,We Are Three Musicians,2024-08-24T02:24:38.686Z
Maverick Selby,,Old Macdonald Had A Farm,2024-08-24T02:11:13.769Z
Titus S.,,Mary Had A Little Lamb,2024-08-24T02:09:35.174Z
John B. Lund,music box,London Bridge (Piano Version),2024-08-24T02:08:06.054Z
Mingmei Hsueh,piano cover,Itsy bitsy spider,2024-08-24T02:06:31.989Z
Lucy Bennett,,Brahms Lullaby,2024-08-24T02:05:09.500Z
Adelmar Borrego,instrumental lullaby,"Twinkle, Twinkle, Little Star",2024-08-24T02:03:29.585Z
Savatage,"glam metal, hard rock, metal, power metal, progressive metal, thrash metal, us power metal",Believe,2024-08-23T19:05:38.316Z
At Vance,"german metal, german power metal, metal cover, neo classical metal, power metal",The Winner Takes It All,2024-08-23T19:03:05.082Z
Airbourne,hard rock,No Way But the Hard Way,2024-08-23T18:57:34.869Z
Kreator,"death metal, german metal, german thrash metal, hard rock, melodic thrash, metal, old school thrash, speed metal, thrash metal",Endorama,2024-08-23T18:53:58.721Z
Stratovarius,"finnish power metal, metal, neo classical metal, power metal, progressive metal, speed metal, symphonic metal",Coming Home,2024-08-23T18:50:37.477Z
Manowar,"comic metal, hard rock, metal, power metal, speed metal, us power metal",Warriors of the World United,2024-08-23T18:45:00.203Z
Savatage,"glam metal, hard rock, metal, power metal, progressive metal, thrash metal, us power metal",When the Crowds Are Gone,2024-08-23T18:39:09.103Z
