Id,Nome,Genero
4MnZkh4dpNmTMPxkl4Ev5L,Symphony X,neo classical metal
4MnZkh4dpNmTMPxkl4Ev5L,Symphony X,power metal
4MnZkh4dpNmTMPxkl4Ev5L,Symphony X,progressive metal
4MnZkh4dpNmTMPxkl4Ev5L,Symphony X,progressive power metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,groove metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,neo classical metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,power metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,progressive groove metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,progressive metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,seattle metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,thrash metal
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,gothic metal
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,gothic symphonic metal
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,norwegian doom metal
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,norwegian metal
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,symphonic metal
2aaLAng2L2aWD2FClzwiep,Dream Theater,metal
2aaLAng2L2aWD2FClzwiep,Dream Theater,progressive metal
2aaLAng2L2aWD2FClzwiep,Dream Theater,metal
2aaLAng2L2aWD2FClzwiep,Dream Theater,progressive metal
1O8CSXsPwEqxcoBE360PPO,Stratovarius,finnish power metal
1O8CSXsPwEqxcoBE360PPO,Stratovarius,metal
1O8CSXsPwEqxcoBE360PPO,Stratovarius,neo classical metal
1O8CSXsPwEqxcoBE360PPO,Stratovarius,power metal
1O8CSXsPwEqxcoBE360PPO,Stratovarius,progressive metal
1O8CSXsPwEqxcoBE360PPO,Stratovarius,speed metal
1O8CSXsPwEqxcoBE360PPO,Stratovarius,symphonic metal
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,dance pop
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,pop
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,dance pop
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,pop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,dance pop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,metropopolis
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,pop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,swedish electropop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,swedish pop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,swedish synthpop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,dance pop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,metropopolis
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,pop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,swedish electropop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,swedish pop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,swedish synthpop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,dance pop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,metropopolis
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,pop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,swedish electropop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,swedish pop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,swedish synthpop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,dance pop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,metropopolis
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,pop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,swedish electropop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,swedish pop
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,swedish synthpop
7FNnA9vBm6EKceENgCGRMb,Anitta,funk pop
7FNnA9vBm6EKceENgCGRMb,Anitta,funk rj
7FNnA9vBm6EKceENgCGRMb,Anitta,pagode baiano
7FNnA9vBm6EKceENgCGRMb,Anitta,pop
7FNnA9vBm6EKceENgCGRMb,Anitta,pop nacional
1mXAhKnZEdF6rotyyd4GBi,MC Kevinho,funk carioca
1mXAhKnZEdF6rotyyd4GBi,MC Kevinho,funk ostentacao
1mXAhKnZEdF6rotyyd4GBi,MC Kevinho,funk pop
1mXAhKnZEdF6rotyyd4GBi,MC Kevinho,sertanejo universitario
06cd30Cv9US973Ika84gDw,Lucas Lucco,funk carioca
06cd30Cv9US973Ika84gDw,Lucas Lucco,sertanejo
06cd30Cv9US973Ika84gDw,Lucas Lucco,sertanejo pop
06cd30Cv9US973Ika84gDw,Lucas Lucco,sertanejo universitario
1wUArE0NhHB8M1bU2WSplY,Nevermore,groove metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,neo classical metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,power metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,progressive groove metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,progressive metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,seattle metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,thrash metal
3KEixcRfBS5K3E91Vn1Kdy,Iced Earth,hard rock
3KEixcRfBS5K3E91Vn1Kdy,Iced Earth,metal
3KEixcRfBS5K3E91Vn1Kdy,Iced Earth,old school thrash
3KEixcRfBS5K3E91Vn1Kdy,Iced Earth,power metal
3KEixcRfBS5K3E91Vn1Kdy,Iced Earth,power thrash
3KEixcRfBS5K3E91Vn1Kdy,Iced Earth,speed metal
3KEixcRfBS5K3E91Vn1Kdy,Iced Earth,symphonic metal
3KEixcRfBS5K3E91Vn1Kdy,Iced Earth,thrash metal
3KEixcRfBS5K3E91Vn1Kdy,Iced Earth,us power metal
3N1B1g6JtIgd6ClRkzD4yT,Savatage,glam metal
3N1B1g6JtIgd6ClRkzD4yT,Savatage,hard rock
3N1B1g6JtIgd6ClRkzD4yT,Savatage,metal
3N1B1g6JtIgd6ClRkzD4yT,Savatage,power metal
3N1B1g6JtIgd6ClRkzD4yT,Savatage,progressive metal
3N1B1g6JtIgd6ClRkzD4yT,Savatage,thrash metal
3N1B1g6JtIgd6ClRkzD4yT,Savatage,us power metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,groove metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,neo classical metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,power metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,progressive groove metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,progressive metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,seattle metal
1wUArE0NhHB8M1bU2WSplY,Nevermore,thrash metal
28hJdGN1Awf7u3ifk2lVkg,Testament,alternative metal
28hJdGN1Awf7u3ifk2lVkg,Testament,groove metal
28hJdGN1Awf7u3ifk2lVkg,Testament,hard rock
28hJdGN1Awf7u3ifk2lVkg,Testament,metal
28hJdGN1Awf7u3ifk2lVkg,Testament,old school thrash
28hJdGN1Awf7u3ifk2lVkg,Testament,thrash metal
2CWWgbxApjbyByxBBCvGTm,Katatonia,doom metal
2CWWgbxApjbyByxBBCvGTm,Katatonia,gothic metal
2CWWgbxApjbyByxBBCvGTm,Katatonia,progressive metal
2CWWgbxApjbyByxBBCvGTm,Katatonia,swedish doom metal
2CWWgbxApjbyByxBBCvGTm,Katatonia,swedish metal
2CWWgbxApjbyByxBBCvGTm,Katatonia,swedish progressive metal
7FNnA9vBm6EKceENgCGRMb,Anitta,funk pop
7FNnA9vBm6EKceENgCGRMb,Anitta,funk rj
7FNnA9vBm6EKceENgCGRMb,Anitta,pagode baiano
7FNnA9vBm6EKceENgCGRMb,Anitta,pop
7FNnA9vBm6EKceENgCGRMb,Anitta,pop nacional
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,gothic metal
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,gothic symphonic metal
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,norwegian doom metal
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,norwegian metal
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,symphonic metal
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,gothic metal
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,gothic symphonic metal
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,norwegian doom metal
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,norwegian metal
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,symphonic metal
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,gothic metal
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,gothic symphonic metal
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,norwegian doom metal
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,norwegian metal
31eXqCx5cAlItdGdoHMEOu,Theatre Of Tragedy,symphonic metal
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,modern rock
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,pop
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,rock
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,modern rock
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,pop
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,rock
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,modern rock
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,pop
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,rock
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,modern rock
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,pop
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,rock
55Aa2cqylxrFIXC767Z865,Lil Wayne,hip hop
55Aa2cqylxrFIXC767Z865,Lil Wayne,new orleans rap
55Aa2cqylxrFIXC767Z865,Lil Wayne,pop rap
